Hourly measurement data supplied by UK-air on 28/02/2021
All Data GMT hour ending. "No data" is used to indicate missing data for that time.
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"London Marylebone Road",,,,,,,
Date Time,Hour of Day,Day of Week,PM10 particulate matter (Hourly measured),Status PM10,PM2.5 particulate matter (Hourly measured),Status PM2.5,Nitrogen dioxide,Status NO2
2018-01-01 00:00:00,0,6,No data,N ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3
2018-01-01 01:00:00,1,0,24.6,V ugm-3 (TEOM FDMS),12.7,V ugm-3 (TEOM FDMS),79.0596,V ugm-3
2018-01-01 02:00:00,2,0,18.7,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),97.05587,V ugm-3
2018-01-01 03:00:00,3,0,17.2,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS),101.07355,V ugm-3
2018-01-01 04:00:00,4,0,10.8,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),81.56557,V ugm-3
2018-01-01 05:00:00,5,0,12.4,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),59.85638,V ugm-3
2018-01-01 06:00:00,6,0,12.6,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),51.55781,V ugm-3
2018-01-01 07:00:00,7,0,21,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),79.5382,V ugm-3
2018-01-01 08:00:00,8,0,21.7,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),72.98608,V ugm-3
2018-01-01 09:00:00,9,0,21.9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),86.85994,V ugm-3
2018-01-01 10:00:00,10,0,26,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),103.41757,V ugm-3
2018-01-01 11:00:00,11,0,25.9,V ugm-3 (TEOM FDMS),10.4,V ugm-3 (TEOM FDMS),101.68146,V ugm-3
2018-01-01 12:00:00,12,0,25.4,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),108.91574,V ugm-3
2018-01-01 13:00:00,13,0,22.5,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),106.81776,V ugm-3
2018-01-01 14:00:00,14,0,14.5,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),71.72479,V ugm-3
2018-01-01 15:00:00,15,0,11.2,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),72.47106,V ugm-3
2018-01-01 16:00:00,16,0,10.4,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),68.71229,V ugm-3
2018-01-01 17:00:00,17,0,15,V ugm-3 (TEOM FDMS),8.7,V ugm-3 (TEOM FDMS),83.29113,V ugm-3
2018-01-01 18:00:00,18,0,22.3,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),111.78907,V ugm-3
2018-01-01 19:00:00,19,0,22.9,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),124.87655,V ugm-3
2018-01-01 20:00:00,20,0,12.8,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),65.41812,V ugm-3
2018-01-01 21:00:00,21,0,12.8,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),58.44677,V ugm-3
2018-01-01 22:00:00,22,0,9.6,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),39.90305,V ugm-3
2018-01-01 23:00:00,23,0,10.6,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),48.42425,V ugm-3
2018-01-02 00:00:00,0,1,10,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),46.54711,V ugm-3
2018-01-02 01:00:00,1,1,11,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),59.18682,V ugm-3
2018-01-02 02:00:00,2,1,11.3,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),53.91447,V ugm-3
2018-01-02 03:00:00,3,1,10.7,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),50.38353,V ugm-3
2018-01-02 04:00:00,4,1,13.6,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),41.70828,V ugm-3
2018-01-02 05:00:00,5,1,17.8,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),53.35224,V ugm-3
2018-01-02 06:00:00,6,1,17.9,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),71.20543,V ugm-3
2018-01-02 07:00:00,7,1,28.3,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),94.98684,V ugm-3
2018-01-02 08:00:00,8,1,34.3,V ugm-3 (TEOM FDMS),9.9,V ugm-3 (TEOM FDMS),94.95861,V ugm-3
2018-01-02 09:00:00,9,1,30.6,V ugm-3 (TEOM FDMS),8.7,V ugm-3 (TEOM FDMS),111.53176,V ugm-3
2018-01-02 10:00:00,10,1,31,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),110.77708,V ugm-3
2018-01-02 11:00:00,11,1,32.2,V ugm-3 (TEOM FDMS),12.8,V ugm-3 (TEOM FDMS),124.34469,V ugm-3
2018-01-02 12:00:00,12,1,27.8,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),116.2387,V ugm-3
2018-01-02 13:00:00,13,1,22.5,V ugm-3 (TEOM FDMS),12.7,V ugm-3 (TEOM FDMS),115.88469,V ugm-3
2018-01-02 14:00:00,14,1,17.6,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),103.99635,V ugm-3
2018-01-02 15:00:00,15,1,14.8,V ugm-3 (TEOM FDMS),3.3,V ugm-3 (TEOM FDMS),100.6206,V ugm-3
2018-01-02 16:00:00,16,1,21.6,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),108.15159,V ugm-3
2018-01-02 17:00:00,17,1,30.4,V ugm-3 (TEOM FDMS),16.4,V ugm-3 (TEOM FDMS),120.25116,V ugm-3
2018-01-02 18:00:00,18,1,43.3,V ugm-3 (TEOM FDMS),22.1,V ugm-3 (TEOM FDMS),114.14649,V ugm-3
2018-01-02 19:00:00,19,1,49.3,V ugm-3 (TEOM FDMS),22.2,V ugm-3 (TEOM FDMS),119.71571,V ugm-3
2018-01-02 20:00:00,20,1,41.8,V ugm-3 (TEOM FDMS),17.1,V ugm-3 (TEOM FDMS),79.64722,V ugm-3
2018-01-02 21:00:00,21,1,39.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),74.88279,V ugm-3
2018-01-02 22:00:00,22,1,22.6,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),46.32946,V ugm-3
2018-01-02 23:00:00,23,1,7.6,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),42.3826,V ugm-3
2018-01-03 00:00:00,0,2,12.4,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),38.04465,V ugm-3
2018-01-03 01:00:00,1,2,14.8,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),56.23737,V ugm-3
2018-01-03 02:00:00,2,2,16.2,V ugm-3 (TEOM FDMS),2.4,V ugm-3 (TEOM FDMS),34.64378,V ugm-3
