Hourly measurement data supplied by UK-air on 28/02/2021
All Data GMT hour ending. "No data" is used to indicate missing data for that time.
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Rochester Stoke",,,,,
Date Time,Hour of Day,Day of Week,PM10 particulate matter (Hourly measured),Status PM10,PM2.5 particulate matter (Hourly measured),Status PM2.5,Nitrogen dioxide,Status NO2
2018-01-01 00:00:00,0,6,No data,N ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3
2018-01-01 01:00:00,1,0,11.3,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),1.17542,V ugm-3
2018-01-01 02:00:00,2,0,8.7,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),1.17568,V ugm-3
2018-01-01 03:00:00,3,0,5.8,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),1.26732,V ugm-3
2018-01-01 04:00:00,4,0,8.3,V ugm-3 (TEOM FDMS),-2.2,V ugm-3 (TEOM FDMS),1.87301,V ugm-3
2018-01-01 05:00:00,5,0,6.9,V ugm-3 (TEOM FDMS),-1,V ugm-3 (TEOM FDMS),1.59809,V ugm-3
2018-01-01 06:00:00,6,0,8.3,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),1.65297,V ugm-3
2018-01-01 07:00:00,7,0,11.2,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),2.69921,V ugm-3
2018-01-01 08:00:00,8,0,14.8,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),2.97528,V ugm-3
2018-01-01 09:00:00,9,0,20.8,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),4.73774,V ugm-3
2018-01-01 10:00:00,10,0,22,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),5.28892,V ugm-3
2018-01-01 11:00:00,11,0,18.8,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),5.84001,V ugm-3
2018-01-01 12:00:00,12,0,12.3,V ugm-3 (TEOM FDMS),0.2,V ugm-3 (TEOM FDMS),8.26315,V ugm-3
2018-01-01 13:00:00,13,0,7.7,V ugm-3 (TEOM FDMS),-0.4,V ugm-3 (TEOM FDMS),7.32717,V ugm-3
2018-01-01 14:00:00,14,0,8.2,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),10.79692,V ugm-3
2018-01-01 15:00:00,15,0,6.3,V ugm-3 (TEOM FDMS),3.3,V ugm-3 (TEOM FDMS),9.7505,V ugm-3
2018-01-01 16:00:00,16,0,8,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),11.29274,V ugm-3
2018-01-01 17:00:00,17,0,5.8,V ugm-3 (TEOM FDMS),1.1,V ugm-3 (TEOM FDMS),10.57632,V ugm-3
2018-01-01 18:00:00,18,0,9.2,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),15.25821,V ugm-3
2018-01-01 19:00:00,19,0,10.7,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),14.43173,V ugm-3
2018-01-01 20:00:00,20,0,9,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),10.52114,V ugm-3
2018-01-01 21:00:00,21,0,9.6,V ugm-3 (TEOM FDMS),0.4,V ugm-3 (TEOM FDMS),10.46587,V ugm-3
2018-01-01 22:00:00,22,0,9.1,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),8.81366,V ugm-3
2018-01-01 23:00:00,23,0,10.3,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),6.44484,V ugm-3
2018-01-02 00:00:00,0,1,10.3,V ugm-3 (TEOM FDMS),-0.6,V ugm-3 (TEOM FDMS),6.00429,V ugm-3
2018-01-02 01:00:00,1,1,7.9,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),5.65745,V ugm-3
2018-01-02 02:00:00,2,1,11.7,V ugm-3 (TEOM FDMS),-0.4,V ugm-3 (TEOM FDMS),7.05398,V ugm-3
2018-01-02 03:00:00,3,1,8.6,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),4.79457,V ugm-3
2018-01-02 04:00:00,4,1,12.1,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),4.02322,V ugm-3
2018-01-02 05:00:00,5,1,11.5,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),4.51852,V ugm-3
2018-01-02 06:00:00,6,1,11.9,V ugm-3 (TEOM FDMS),-0.7,V ugm-3 (TEOM FDMS),3.96758,V ugm-3
2018-01-02 07:00:00,7,1,16.9,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),7.88036,V ugm-3
2018-01-02 08:00:00,8,1,16.1,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),16.25641,V ugm-3
2018-01-02 09:00:00,9,1,18.2,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),19.45279,V ugm-3
2018-01-02 10:00:00,10,1,15.8,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),25.4055,V ugm-3
2018-01-02 11:00:00,11,1,17.1,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),20.0058,V ugm-3
2018-01-02 12:00:00,12,1,24.7,V ugm-3 (TEOM FDMS),-0.3,V ugm-3 (TEOM FDMS),13.61235,V ugm-3
2018-01-02 13:00:00,13,1,12.1,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),9.31439,V ugm-3
2018-01-02 14:00:00,14,1,10.9,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),7.88128,V ugm-3
2018-01-02 15:00:00,15,1,8.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),7.21952,V ugm-3
2018-01-02 16:00:00,16,1,3.1,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11.18679,V ugm-3
2018-01-02 17:00:00,17,1,11.3,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),12.34378,V ugm-3
2018-01-02 18:00:00,18,1,14.8,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),16.20123,V ugm-3
2018-01-02 19:00:00,19,1,23.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),17.30289,V ugm-3
2018-01-02 20:00:00,20,1,33.5,V ugm-3 (TEOM FDMS),15.5,V ugm-3 (TEOM FDMS),12.01317,V ugm-3
2018-01-02 21:00:00,21,1,33.3,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),10.69133,V ugm-3
2018-01-02 22:00:00,22,1,24.1,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),13.28121,V ugm-3
2018-01-02 23:00:00,23,1,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15.26572,V ugm-3
2018-01-03 00:00:00,0,2,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),5.95225,V ugm-3
2018-01-03 01:00:00,1,2,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),1.69086,V ugm-3
2018-01-03 02:00:00,2,2,15.4,V ugm-3 (TEOM FDMS),0.3,V ugm-3 (TEOM FDMS),0.88252,V ugm-3
2018-01-03 03:00:00,3,2,10.9,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),0.66172,V ugm-3
2018-01-03 04:00:00,4,2,6.2,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),2.09518,V ugm-3
2018-01-03 05:00:00,5,2,19.5,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),1.21313,V ugm-3
2018-01-03 06:00:00,6,2,15,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),2.03988,V ugm-3
2018-01-03 07:00:00,7,2,15.7,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),3.08735,V ugm-3
2018-01-03 08:00:00,8,2,12.2,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),5.0167,V ugm-3
2018-01-03 09:00:00,9,2,14.8,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),6.39474,V ugm-3
2018-01-03 10:00:00,10,2,13.8,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),7.60788,V ugm-3
2018-01-03 11:00:00,11,2,20,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),6.2853,V ugm-3
2018-01-03 12:00:00,12,2,23.1,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),7.44325,V ugm-3
2018-01-03 13:00:00,13,2,No data,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),8.60114,V ugm-3
2018-01-03 14:00:00,14,2,21.6,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),8.04927,V ugm-3
2018-01-03 15:00:00,15,2,21.6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),8.3799,V ugm-3
2018-01-03 16:00:00,16,2,25.1,V ugm-3 (TEOM FDMS),6.2,V ugm-3 (TEOM FDMS),8.32438,V ugm-3
2018-01-03 17:00:00,17,2,27.8,V ugm-3 (TEOM FDMS),9.9,V ugm-3 (TEOM FDMS),8.10359,V ugm-3
2018-01-03 18:00:00,18,2,29.1,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),7.49723,V ugm-3
2018-01-03 19:00:00,19,2,28,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),6.17454,V ugm-3
2018-01-03 20:00:00,20,2,30.9,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),6.00899,V ugm-3
2018-01-03 21:00:00,21,2,31.4,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),5.51293,V ugm-3
2018-01-03 22:00:00,22,2,34.6,V ugm-3 (TEOM FDMS),9.9,V ugm-3 (TEOM FDMS),3.41804,V ugm-3
2018-01-03 23:00:00,23,2,31.6,V ugm-3 (TEOM FDMS),9.9,V ugm-3 (TEOM FDMS),2.8668,V ugm-3
2018-01-04 00:00:00,0,3,29.9,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),2.09506,V ugm-3
2018-01-04 01:00:00,1,3,29,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),3.01481,V ugm-3
2018-01-04 02:00:00,2,3,28.8,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),3.97099,V ugm-3
2018-01-04 03:00:00,3,3,22.6,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),4.24637,V ugm-3
2018-01-04 04:00:00,4,3,13.4,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),4.08113,V ugm-3
2018-01-04 05:00:00,5,3,11.9,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),5.6804,V ugm-3
